car,posx,posy,vitesse,distance,BS,start,end,lifetime,lineid,roadid,Theta,Cdistance,NewLoad
2825,6022.159726,4115.502798,12.471543,773.5119,1,42341,42423,82,3025611,302561,0.327394356,314.6664746,31
3180,6097.705212,3743.859739,12.121675,1132.794969,1,42341,42397,56,3147020,314702,-0.201339113,210.9161798,31
2862,6020.862919,4111.705166,13.396004,775.928653,1,42342,42426,84,3025610,302561,0.322783708,309.2958119,31
3183,6102.00239,3743.964664,14.287366,1134.64528,1,42343,42423,80,3147020,314702,-0.200056161,210.7677934,31
2981,6017.435966,4114.158397,14.534784,771.979975,1,42345,42413,68,3025611,302561,0.32775252,312.7652045,31
3504,5526.356678,3809.025494,12.987142,98.46985,1,42346,42434,88,3240620,324062,-0.484981826,118.7578853,31
2920,6018.413566,4111.008336,15.742043,485.258466,1,42347,42415,68,3025610,302561,0.322952737,308.3103455,31
2963,6101.771122,3743.959017,12.382329,531.814613,1,42347,42399,52,3147020,314702,-0.200124843,210.7757795,31
3182,6098.750242,3743.885256,12.178867,1133.243724,1,42349,42411,62,3147020,314702,-0.201025787,210.8800933,31
2928,6021.007607,4111.74633,15.074936,775.975443,1,42350,42414,64,3025610,302561,0.322773763,309.3540266,31
3510,5535.98202,3997.236597,14.617366,759.478906,1,42351,42489,138,3194030,319403,0.552717326,147.4128092,31
3514,5536.20154,3993.883649,13.528791,121.009613,1,42352,42492,140,3194031,319403,0.537645511,142.6710246,31
3188,6115.082495,3744.284045,12.35327,544.57669,1,42353,42403,50,3147020,314702,-0.196237789,210.3161205,31
2932,6004.32328,4106.999713,7.03327,770.754885,1,42363,42495,132,3025610,302561,0.323949952,302.6412965,31
3577,5609.402145,3613.921873,2.146176,1141.29801,1,42400,42466,66,3256400,325640,-0.855613072,394.6760722,31
3591,5526.048955,3689.88696,12.728804,1066.855575,1,42416,42478,62,3256400,325640,-0.906472607,287.2452159,38
3602,5533.612083,3689.212511,13.61482,1067.123817,1,42425,42485,60,3256400,325640,-0.885428865,288.1990308,38
3000,6163.796888,3801.026069,14.535123,580.898514,1,42427,42475,48,31952160,3195216,-0.11492098,130.0707806,38
3618,5532.968805,3996.445281,13.712613,760.476582,1,42435,42583,148,3194030,319403,0.557362565,146.2937194,38
3070,5952.650922,4316.01906,14.802335,571.31853,1,42440,42442,2,3115200,311520,0.625539968,598.2392918,38
3069,5848.947046,4322.494897,14.797954,508.895128,1,42444,42446,2,3115200,311520,0.727913032,607.3975083,38
3636,5527.184366,3809.089387,13.603612,947.799978,1,42446,42588,142,3240620,324062,-0.48253542,118.6675269,38
3070,5809.637565,4327.758436,14.422771,481.770526,1,42450,42452,2,3115200,311520,0.776418276,614.8412765,38
3390,5611.024115,4298.06854,0.035858,413.655268,1,42461,42503,42,3216000,321600,1.028594378,572.853423,38
3389,5611.951347,4304.55746,3.288202,451.133076,1,42467,42593,126,3216000,321600,1.033927445,582.0301416,38
3487,5863.084559,4323.932776,11.148805,511.900024,1,42473,42477,4,3115200,311520,0.715232454,609.4309763,38
3591,6197.439586,3937.827779,14.019645,1020.003395,1,42486,42492,6,31952170,3195217,0.053928442,63.39605303,38
3709,5562.284812,3491.241909,10.963149,1263.999744,1,42493,42565,72,31952150,3195215,-1.118350147,568.1717411,38
3720,6200.237911,3862.733506,2.219014,611.643344,1,42504,42512,8,31952170,3195217,-0.036307989,42.8032863,35
3390,5628.917074,4241.455978,15.953662,358.684035,1,42507,42587,80,3056600,305660,0.926239801,492.79117,35
3446,6049.546533,4118.757634,12.71221,786.608952,1,42509,42601,92,3025610,302561,0.319430845,319.2695078,35
3447,5875.323421,4267.016052,15.732503,566.796902,1,42523,42553,30,3184400,318440,0.634340375,528.9385733,35
3745,5539.315533,3998.106038,15.434051,123.537533,1,42523,42653,130,928870,92887,0.547712787,148.6423844,35
3746,5535.710788,3997.165367,12.970626,759.568242,1,42524,42654,130,3194030,319403,0.553129746,147.3120747,35
3150,5888.357716,4266.138144,12.981844,484.645569,1,42535,42537,2,3184400,318440,0.621188424,527.6970239,35
3761,5530.915763,3995.906121,10.946926,125.195632,1,42535,42661,126,3194030,319403,0.560609412,145.531232,35
3771,5575.715697,3802.446481,2.178547,83.615526,1,42540,42648,108,721410,72141,-0.40935166,128.0620147,35
3150,5753.632101,4276.298647,13.148636,424.52133,1,42545,42555,10,3184400,318440,0.78106864,542.066145,35
3808,5528.76102,3689.96707,11.41286,204.123929,1,42563,42637,74,3256400,325640,-0.898056707,287.1319232,35
3813,5527.630234,4303.581214,14.779475,423.05612,1,42567,42577,10,3184410,318441,1.197876154,580.6495213,35
3709,6196.961945,3931.587962,10.694022,1024.724821,1,42569,42575,6,31952170,3195217,0.046460194,54.5716192,35
3819,5568.160845,3499.441831,16.818336,1255.699498,1,42571,42613,42,31952150,3195215,-1.098281477,556.5753002,35
3820,5563.465292,3492.889253,12.472622,392.941292,1,42572,42634,62,31952150,3195215,-1.114352625,565.8420449,35
3178,5969.143655,4260.696912,13.977178,624.795419,1,42573,42577,4,3184400,318440,0.54821105,520.0019598,35
3824,5565.643259,3495.928576,11.441178,1259.252541,1,42574,42596,22,31952150,3195215,-1.106932061,561.5437931,35
3825,5567.578199,3492.969151,10.513785,392.615691,1,42574,42644,70,31952151,3195215,-1.106023889,565.729052,35
3178,5863.673148,4267.800741,13.036298,560.277743,1,42581,42585,4,3184400,318440,0.646452961,530.0482911,35
3813,5853.432252,4271.806668,14.268184,468.555029,1,42589,42597,8,3184400,318440,0.66164552,535.7135274,35
3178,5730.91546,4278.568533,12.908072,497.693281,1,42591,42677,86,3184400,318440,0.81428077,545.2762486,35
3855,5526.21834,3994.672506,14.35912,762.753111,1,42591,42723,132,3194030,319403,0.568300071,143.7866369,35
3858,5528.549163,3991.874019,14.220231,765.361198,1,42594,42728,134,3194031,319403,0.549223048,139.8289786,35
3859,5523.645056,3993.996723,11.859685,127.088765,1,42596,42734,138,3194030,319403,0.57267488,142.8309354,35
3860,5527.932668,3991.712118,11.177274,765.569945,1,42596,42730,134,3194031,319403,0.55019625,139.600016,35
3149,6027.581175,4113.524397,14.193062,494.547113,1,42599,42679,80,3025610,302561,0.322201006,311.8685931,35
